word,category,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49
cheese,random,-0.0539029986,-0.308710009,-1.32850003,-0.433420002,0.317790002,1.52240002,-0.696500003,-0.0370859988,-0.837840021,0.0741069987,-0.305319995,-0.178299993,1.23370004,0.085473001,0.17362,-0.190009996,0.369069993,0.494540006,-0.0243110005,-1.05350006,0.523699999,-1.14890003,0.950929999,1.15380001,-0.522859991,-0.149309993,-0.976140022,1.39119995,0.798749983,-0.721340001,1.54110003,-0.159280002,-0.304720014,1.72650003,0.131239995,-0.0540230013,-0.742120028,1.67499995,1.95019996,-0.532739997,1.13590002,0.200269997,0.02245,-0.393790007,1.06089997,1.58500004,0.178890005,0.435559988,0.681609988,0.0662019998
apple,random,0.520420015,-0.831399977,0.499610007,1.28929996,0.115099996,0.0575210005,-1.37530005,-0.973129988,0.183459997,0.476720005,-0.151120007,0.355320007,0.259119987,-0.778569996,0.521809995,0.47694999,-1.42509997,0.85799998,0.598209977,-1.09029996,0.33574,-0.608910024,0.41742,0.215690002,-0.0741700009,-0.582199991,-0.450199991,0.172529995,0.164480001,-0.384130001,2.3283,-0.66681999,-0.581809998,0.743889987,0.0950149968,-0.478650004,-0.845910013,0.387039989,0.236929998,-1.55229998,0.648020029,-0.165209994,-1.47189999,-0.162239999,0.798569977,0.973909974,0.400269985,-0.219119996,-0.309379995,0.265810013
banana,random,-0.255219996,-0.752489984,-0.866550028,1.11969995,0.128869995,1.01209998,-0.572489977,-0.362239987,0.443410009,-0.122110002,0.0735239983,0.213870004,0.967440009,-0.0686110035,0.514519989,-0.0534249991,-0.219659999,0.230120003,1.04299998,-0.770160019,-0.16753,-1.09519994,0.248370007,0.200189993,-0.408659995,-0.480369985,0.106739998,0.531599998,1.11099994,-0.193220004,1.47679996,-0.517830014,-0.79569,1.79709995,-0.333920002,-0.145449996,-1.54540002,0.0135000004,0.10684,-0.307220012,-0.545719981,0.389380008,0.246590003,-0.851660013,0.549660027,0.826789975,-0.680809975,-0.778639972,-0.0282419994,-0.828719974
shirt,random,-1.48619998,0.136490002,-0.692719996,-0.386570007,0.637210011,-0.329769999,-0.634379983,-1.13709998,-0.434130013,-0.769829988,0.1382,-0.390320003,-0.468169987,-0.34810999,0.270550013,0.138820007,-1.29219997,-0.302040011,0.0244960003,-1.17920005,-0.890089989,0.586369991,0.186900005,-0.164350003,-1.4224,-1.22109997,-0.491380006,1.85570002,0.521300018,-1.13489997,1.71200001,0.641380012,-0.590210021,1.04279995,-0.277469993,0.633369982,0.364399999,-0.0439790003,-0.707930028,-1.13279998,0.951839983,0.186440006,-0.343360007,0.331449986,0.771990001,-0.770250022,-0.0062417998,-1.19529998,0.515600026,-0.601939976
shoe,random,-0.83160001,-0.285320014,-0.169139996,0.28075999,0.481849998,0.312429994,-0.588649988,-0.982800007,0.578909993,-0.0886069983,0.430180013,-0.179959998,-0.87650001,0.289829999,0.337190002,0.325069994,-0.816500008,0.918709993,0.0869219974,-0.967239976,0.552250028,-0.197579995,-1.02779996,0.0372380018,-1.09800005,-1.54449999,-0.965210021,0.777700007,0.69423002,-1.03849995,0.899779975,0.193939999,-0.019173,1.02719998,0.33987999,0.618579984,-0.0958819985,0.902689993,0.252350003,-0.131459996,0.275649995,0.189089999,0.213819996,0.0793870017,0.925790012,-0.487599999,0.0648500025,-0.471500009,0.130820006,-0.242280006
hat,random,-0.884119987,-0.0727339983,-0.839699984,-0.124619998,0.745999992,-0.113839999,-0.919990003,-0.957499981,0.0445679985,-0.000124030004,0.325639993,0.275539994,-0.307040006,0.281340003,-0.151040003,-0.361510009,-0.0466119982,-0.234899998,-0.90723002,-0.300449997,-1.10440004,-0.279469997,-0.316570014,-0.295509994,-0.636940002,-1.34800005,-0.553070009,1.0819,0.154180005,-1.55289996,1.55869997,0.656050026,-0.498670012,1.34570003,-0.194710001,0.924969971,0.24346,0.750450015,-0.071709998,-0.780309975,0.64635998,0.500150025,-0.82257998,0.149340004,0.373400003,-0.43720001,0.248040006,-0.767289996,0.822820008,-0.616599977
movie,random,0.308239996,0.172230005,-0.233390003,0.0231049992,0.285219997,0.230759993,-0.410479993,-1.00349998,-0.207200006,1.43270004,-0.806840003,0.689540029,-0.436479986,1.10689998,1.61070001,-0.319660008,0.47744,0.793950021,-0.843739986,0.0645089969,0.902509987,0.786090016,0.296990007,0.76056999,0.432999998,-1.50320005,-1.64230001,0.302560002,0.307709992,-0.870570004,2.47819996,-0.0258520003,0.501299977,-0.385930002,-0.156330004,0.455220014,0.0490100011,-0.425989985,-0.86401999,-1.30760002,-0.295760006,1.20899999,-0.312700003,-0.724619985,-0.808009982,0.0826670006,0.267379999,-0.981769979,-0.321469992,0.99822998
dance,random,-0.997160017,0.613479972,-1.76859999,0.0870520025,-0.246439993,0.199839994,-0.258920014,-0.0313090011,-0.431169987,1.08440006,0.470319986,-0.367309988,0.100469999,1.24590003,0.00257280003,-0.38804999,0.484890014,0.380519986,-0.56983,-0.843320012,0.886070013,0.973959982,0.00906000007,0.951870024,0.338669986,-0.25218001,-1.56330001,-0.48921001,-0.347119987,-1.26289999,2.84549999,0.288870007,-0.191579998,0.0651950017,-0.19799,0.228149995,0.446130008,-0.0826589987,-0.330680013,0.0481440015,-0.272240013,-0.217649996,-0.559310019,-0.401490003,0.563950002,-0.199149996,0.726450026,-1.51839995,-0.878629982,0.218600005
dream,random,-0.0442500003,0.998560011,-0.204229996,-0.0489670001,0.399809986,0.0351179987,-0.867449999,0.195899993,-0.366490006,0.788030028,0.000418579992,0.305409998,-0.733990014,0.430370003,0.932990015,0.206630006,0.524269998,0.717850029,-0.309390008,0.0790309981,-0.242599994,0.793009996,-0.594510019,0.249720007,1.04059994,-1.05239999,-1.36489999,-0.385289997,0.97882998,-0.34810999,2.00769997,0.454860002,-0.856410027,0.0294870008,-0.146060005,0.169400007,-0.0995310023,0.0497330017,-0.176349998,-0.904399991,-0.418009996,-0.771529973,-0.256480008,-0.309390008,-0.198870003,0.332509995,0.0814059973,-0.825590014,-0.211099997,-0.000151700006
energy,random,0.0688069984,0.369379997,1.0194,0.726220012,0.331660002,-0.116740003,0.0518999994,-0.626299977,0.699840009,1.10339999,0.884119987,0.616620004,0.0631799996,0.525539994,-0.607749999,0.588840008,0.861940026,0.733539999,-0.27098,-1.14230001,1.23099995,-0.385829985,0.164539993,-1.20519996,0.0819690004,-1.14989996,0.341740012,0.161860004,0.466670007,1.29489994,3.21690011,0.259920001,-0.199110001,-0.869530022,-0.436159998,-0.712400019,-1.06659997,0.376659989,1.222,0.493239999,-0.112949997,0.315210015,-0.073187001,-0.567380011,-0.210309997,0.756980002,-0.534839988,0.869979978,0.0231619999,0.492190003
